input_1,input_2,input_3,input_4,input_5,input_6,input_7
0.3801345,0.1760087,0.7134442,0.752981,-0.1438206,0.6049333,-0.2153849
0.3802415,0.1758012,0.7122507,0.7534897,-0.1439926,0.6044099,-0.2149605
0.38061,0.1751077,0.7083812,0.7550722,-0.1445331,0.6027665,-0.2136552
0.3806718,0.1749932,0.7077725,0.7553095,-0.144618,0.6025169,-0.213463
0.3809775,0.1744438,0.7049334,0.7563731,-0.1450041,0.6013851,-0.212625
0.3820856,0.1719522,0.6948781,0.7595354,-0.146608,0.5979123,-0.2100308
0.3829961,0.1688653,0.6848775,0.7611304,-0.1479886,0.5960359,-0.2086164
0.3832841,0.1649581,0.6775771,0.7596853,-0.1492666,0.5973456,-0.2092267
0.3833473,0.1631192,0.6749586,0.7587756,-0.1499603,0.5981834,-0.2096379
0.3835644,0.1551731,0.6671621,0.7549793,-0.1539883,0.601485,-0.2109727
0.3835869,0.1549452,0.6669879,0.7549249,-0.1541479,0.6015147,-0.2109661
0.3837249,0.1536546,0.6660191,0.7546423,-0.1550678,0.601653,-0.2109097
0.3838966,0.1522069,0.6649752,0.7543705,-0.1561374,0.6017496,-0.2108162
0.3848416,0.1449795,0.6598008,0.7534842,-0.1617871,0.6016447,-0.2100238
0.3850053,0.1438829,0.6590558,0.7534619,-0.1627216,0.6014979,-0.2098022
0.385436,0.1412431,0.6572151,0.7535948,-0.1650608,0.6009243,-0.2091403
0.3859713,0.1381025,0.6549853,0.7539828,-0.1679646,0.5999556,-0.2082092
0.3865242,0.1349519,0.6528049,0.7544706,-0.1709701,0.598846,-0.2071872
0.3870542,0.1319325,0.6507438,0.7550131,-0.1739115,0.5976758,-0.2061393
0.3872668,0.1306886,0.6498633,0.7552644,-0.1751322,0.5971558,-0.2056916
0.3876045,0.1286817,0.6484304,0.7556738,-0.1771051,0.5963002,-0.2049804
0.3881008,0.1255184,0.6461658,0.7562614,-0.1801954,0.5949951,-0.2039095
0.3881865,0.1249057,0.6457327,0.7563569,-0.1807882,0.5947601,-0.2037159
0.388335,0.1238081,0.644952,0.7565144,-0.1818433,0.5943537,-0.2033783
0.3887558,0.1204586,0.6424714,0.7568967,-0.1850054,0.5932124,-0.2024332
0.3892878,0.1149025,0.6384322,0.7572217,-0.1901413,0.5916357,-0.2010685
0.3895325,0.1103408,0.634917,0.7571516,-0.1941757,0.5907092,-0.2001994
0.389552,0.1093095,0.6340462,0.7570766,-0.1950438,0.5905702,-0.2000494
0.3895152,0.1049767,0.6303492,0.7563349,-0.1984844,0.5904777,-0.1997425
0.389487,0.09854746,0.6248964,0.7555294,-0.2038476,0.5899029,-0.1990872
0.3895228,0.0972355,0.6237007,0.7555612,-0.2050387,0.5895401,-0.1988182
0.3896227,0.09492236,0.6216775,0.7556488,-0.2071888,0.5888406,-0.1983282
0.3901635,0.08734922,0.6148983,0.7566854,-0.214692,0.5855006,-0.1962737
0.3901921,0.08700508,0.6145831,0.7567487,-0.2150441,0.585324,-0.1961709
0.3902501,0.08630787,0.613947,0.7568778,-0.2157586,0.5849639,-0.1959618
0.390372,0.08489619,0.6126625,0.757148,-0.2172152,0.5842166,-0.1955377
0.390554,0.08293853,0.6109035,0.7575313,-0.2192534,0.5831548,-0.1949466
0.3911128,0.07748451,0.6061711,0.7586049,-0.2250245,0.5801037,-0.1932923
0.3912791,0.07592477,0.6049074,0.7588684,-0.2266825,0.5792582,-0.1928566
0.391381,0.07495115,0.6041145,0.759034,-0.2277202,0.5787255,-0.1925812
0.3921118,0.06794276,0.5985572,0.7600521,-0.2350956,0.5750662,-0.1906528
0.3921369,0.0676956,0.5983756,0.7600754,-0.2353509,0.5749512,-0.190592
0.3924056,0.06497071,0.5964717,0.7602538,-0.2381694,0.5737621,-0.1899631
0.3926186,0.06253846,0.5948964,0.7603061,-0.2406967,0.5727958,-0.1894832
0.3929775,0.05817544,0.5922116,0.7602404,-0.2452064,0.5712166,-0.1887304
0.3932043,0.05494812,0.5903499,0.7600527,-0.2485264,0.5701926,-0.1882407
0.3936152,0.04854146,0.5869784,0.7593774,-0.2550606,0.5684723,-0.1874276
0.3938219,0.04488462,0.5852982,0.7587512,-0.2587002,0.5677703,-0.1871029
0.3938677,0.04408748,0.5849534,0.7585982,-0.2594916,0.5676364,-0.1870337
0.3942722,0.03854488,0.5826002,0.7575241,-0.2650569,0.5666377,-0.1866106
0.3945559,0.0349606,0.5813222,0.7567576,-0.2686935,0.5660291,-0.1863658
0.3950059,0.02933999,0.5795449,0.7555879,-0.274427,0.5650048,-0.1858659
0.3950183,0.02916076,0.5794937,0.7555493,-0.2746125,0.5649711,-0.1858512
0.3950555,0.02862579,0.5793412,0.755435,-0.2751677,0.5648687,-0.1858059
0.3952024,0.02648409,0.5787593,0.7549768,-0.2774039,0.564454,-0.1856035
0.3953176,0.02485567,0.5783311,0.7546427,-0.2791196,0.5641097,-0.1854355
0.3955926,0.02088378,0.5773595,0.7538625,-0.2832797,0.5632223,-0.1849972
0.3957258,0.01905851,0.5769886,0.7534753,-0.2851547,0.5628696,-0.1847688
0.3960309,0.01485449,0.5762726,0.7524771,-0.2894744,0.5621386,-0.1843437
0.3963473,0.009334617,0.5755702,0.7509508,-0.2951537,0.5613667,-0.1839134
0.396553,0.00495492,0.5752142,0.7496367,-0.2994804,0.5609597,-0.1835214
0.3967132,0.000798736,0.5749923,0.7482718,-0.303609,0.560661,-0.1832199
0.3967635,-0.000660832,0.5749137,0.7477753,-0.3050866,0.5605459,-0.1831452
0.3969085,-0.005104236,0.5746351,0.7462993,-0.3095124,0.5601781,-0.1828645
0.3969918,-0.00919656,0.5743731,0.7449637,-0.3134528,0.5598909,-0.1824772
0.3970188,-0.01089911,0.574254,0.7444116,-0.3150816,0.5597668,-0.1823073
0.3971123,-0.01509109,0.5738908,0.7431106,-0.319045,0.5593848,-0.1818925
0.3973126,-0.02181138,0.5730635,0.7412903,-0.3251046,0.5585571,-0.1811337
0.3974229,-0.02503749,0.5725813,0.7404981,-0.3279247,0.5580923,-0.1807231
0.3976761,-0.03352844,0.5714697,0.7384001,-0.3350079,0.5570062,-0.1796634
0.3976786,-0.035027,0.5713935,0.7379728,-0.3361684,0.556931,-0.1794847
0.3974693,-0.04404522,0.5717644,0.7349783,-0.3426545,0.5572857,-0.1784024
0.3974083,-0.04513515,0.5718816,0.7345566,-0.343434,0.5574011,-0.1782792
0.3972489,-0.04743851,0.572173,0.7336267,-0.345079,0.5576809,-0.1780563
0.3964789,-0.05509958,0.5733828,0.7300163,-0.3511031,0.5587378,-0.177804
0.3959184,-0.05996692,0.5743574,0.7274855,-0.3550326,0.55957,-0.1777582
0.3956052,-0.06267077,0.5750211,0.7260044,-0.3571719,0.5601358,-0.1777459
0.3953865,-0.06457103,0.5755095,0.7249295,-0.3587048,0.560545,-0.1777563
0.3953314,-0.06504708,0.5756367,0.7246564,-0.3590879,0.5606508,-0.1777624
0.394984,-0.06799065,0.5764962,0.7229216,-0.3614339,0.5613584,-0.1778382
0.3944528,-0.07254973,0.5779633,0.7200958,-0.3651181,0.5625684,-0.1779541
0.3941824,-0.07502909,0.5788037,0.7184973,-0.3671737,0.5632539,-0.1780159
0.3936356,-0.08028717,0.5808471,0.7149368,-0.371468,0.5648837,-0.1782781
0.3936039,-0.080616,0.5809944,0.714704,-0.3717286,0.5650005,-0.1782977
0.3931985,-0.08478163,0.5829471,0.7116937,-0.3750113,0.566555,-0.1785324
0.3931584,-0.08518017,0.5831308,0.7114048,-0.3753285,0.5667021,-0.17855
0.392721,-0.08942148,0.585058,0.7083368,-0.3787019,0.5682469,-0.1787148
0.3922644,-0.09396611,0.5873888,0.7049069,-0.3821989,0.5701017,-0.1789241
0.3921595,-0.09509711,0.588036,0.7040214,-0.3830379,0.5706155,-0.1789782
0.3918965,-0.09795496,0.5897187,0.7017561,-0.3851316,0.5719564,-0.1791016
0.3913593,-0.1042623,0.5936846,0.6966273,-0.3895986,0.5751059,-0.1793773
0.391296,-0.1050363,0.5942259,0.695969,-0.3901234,0.5755331,-0.1794212
0.3912025,-0.1061914,0.5950297,0.6949901,-0.3909029,0.5761672,-0.1794829
0.3907368,-0.112664,0.5998552,0.6893559,-0.395087,0.57995,-0.1798666
0.3906091,-0.1151461,0.6018128,0.6871581,-0.3966141,0.5814687,-0.1800128
0.390529,-0.1175835,0.6039005,0.6849261,-0.3980392,0.5830773,-0.1801697
0.3904924,-0.1189451,0.6050932,0.6836709,-0.3988164,0.5839963,-0.1802421
0.3904573,-0.120603,0.6065405,0.6821477,-0.399757,0.5851107,-0.1803159
0.3904342,-0.1251036,0.6107749,0.6778861,-0.4021514,0.5883619,-0.1804848
0.3904711,-0.1280928,0.6137856,0.6749767,-0.4036261,0.5906578,-0.1805976
0.3905209,-0.1293415,0.615144,0.6737227,-0.4041933,0.59168,-0.1806658
0.3906468,-0.1312341,0.6172451,0.6718154,-0.4050247,0.593245,-0.1807736
0.3908118,-0.1332619,0.6196977,0.6696797,-0.4058262,0.5950647,-0.1809188
0.3909976,-0.1350644,0.6219888,0.6677411,-0.4064883,0.5967398,-0.1810805
0.3913062,-0.1373465,0.6251446,0.6651871,-0.4072084,0.5990144,-0.1813514
0.3913352,-0.137529,0.6253962,0.6649856,-0.4072651,0.5991927,-0.1813737
0.3924822,-0.1429276,0.633771,0.6586701,-0.4085181,0.6050028,-0.1823128
0.39272,-0.1436584,0.6350805,0.6577568,-0.4086058,0.6058804,-0.1825002
0.3931964,-0.145075,0.6378153,0.6558869,-0.4087033,0.6077156,-0.1829078
0.3934455,-0.1457586,0.639211,0.6549529,-0.4087141,0.60865,-0.1831236
0.3945744,-0.1483821,0.6450606,0.6511844,-0.4085456,0.6125135,-0.1840549
0.3950183,-0.1492455,0.647244,0.6498456,-0.4083843,0.6139317,-0.1844179
0.3953789,-0.1498908,0.6489431,0.6488269,-0.4082318,0.6150247,-0.1847007
0.3957483,-0.1505585,0.6507699,0.6477406,-0.408053,0.6161967,-0.1850028
0.3965774,-0.152067,0.655124,0.6451807,-0.4075708,0.6189701,-0.1857505
0.3966612,-0.1522322,0.6556226,0.6448889,-0.4075112,0.6192876,-0.1858367
0.3981163,-0.1550676,0.6643546,0.639971,-0.4064973,0.6245846,-0.1873255
0.3982196,-0.1553003,0.6650744,0.6395778,-0.4064242,0.6249982,-0.1874471
0.3982527,-0.1553769,0.6653167,0.6394462,-0.4063985,0.6251371,-0.1874886
0.3993991,-0.1578343,0.6744,0.6349024,-0.4052343,0.6300078,-0.1891398
0.3994654,-0.1580042,0.6751302,0.6345579,-0.4051329,0.6303781,-0.1892788
0.3995488,-0.1582277,0.6761045,0.6341015,-0.4049977,0.630868,-0.1894663
0.3999591,-0.1601675,0.6849099,0.6301121,-0.4038534,0.6350477,-0.1912468
0.3999598,-0.1602107,0.6851514,0.630007,-0.4038178,0.6351581,-0.1913013
0.3997886,-0.1616362,0.6951592,0.6260213,-0.402224,0.6393745,-0.1936828
0.399658,-0.1620211,0.6982405,0.6249286,-0.4017692,0.6405169,-0.19438
0.3995521,-0.1623397,0.7010472,0.6240085,-0.4013614,0.6414758,-0.1950161
0.3994206,-0.1626401,0.7050404,0.6229236,-0.4007466,0.6426239,-0.1959667
0.3992758,-0.1624163,0.715223,0.6217461,-0.3990316,0.6440271,-0.1985811
0.3998219,-0.1611101,0.7251816,0.622191,-0.3970524,0.6439743,-0.201308
0.4009941,-0.1589724,0.734333,0.6240957,-0.3949659,0.6425177,-0.2041509
0.4010782,-0.1587874,0.735046,0.6242456,-0.394782,0.6424117,-0.2043817
0.4013587,-0.1582153,0.7371003,0.6247663,-0.3942497,0.6420156,-0.2050606
0.4014833,-0.1579565,0.7380084,0.6250114,-0.3940174,0.6418245,-0.2053582
0.4024396,-0.1556878,0.7451586,0.6270685,-0.392096,0.6402046,-0.2078072
0.4027147,-0.154989,0.7471474,0.6276824,-0.3915433,0.6396969,-0.2085585
0.403438,-0.152197,0.7550304,0.6295073,-0.3891127,0.6383641,-0.2116671
0.4038258,-0.1491626,0.7630626,0.6306255,-0.386102,0.6379467,-0.2150821
0.4038267,-0.1484635,0.7650256,0.6306692,-0.3852943,0.6381073,-0.2159245
0.4038214,-0.1482095,0.7657544,0.6306677,-0.3849892,0.6381866,-0.2162381
0.4034751,-0.1450723,0.7752185,0.6300416,-0.380901,0.6398429,-0.2203695
0.4034591,-0.1449918,0.7754681,0.6300097,-0.380789,0.6399027,-0.2204805
0.4027192,-0.1417907,0.7850001,0.6283485,-0.3762048,0.6427138,-0.2248707
0.4026646,-0.1416284,0.7854962,0.6282289,-0.3759579,0.6428935,-0.2251038
0.4024178,-0.1410004,0.7875131,0.6276997,-0.3749653,0.6436632,-0.2260347
0.4019864,-0.1399528,0.7909398,0.6267504,-0.3732764,0.6450101,-0.227619
0.4013848,-0.1386616,0.7951651,0.6254403,-0.3711433,0.6468106,-0.2295925
0.4011676,-0.1382118,0.7966429,0.6249527,-0.3703872,0.6474675,-0.2302884
0.3998208,-0.1356517,0.8051579,0.6219738,-0.3660135,0.6513906,-0.2342489
0.3995408,-0.135122,0.8068578,0.6213459,-0.3651112,0.6522095,-0.2350442
0.3995009,-0.1350468,0.8070991,0.6212564,-0.3649826,0.6523262,-0.2351564
0.3994612,-0.1349714,0.8073398,0.6211669,-0.3648541,0.6524427,-0.2352686
0.3985647,-0.1333393,0.8126403,0.6191341,-0.3620324,0.6550596,-0.2377008
0.3981663,-0.132502,0.8151978,0.6181674,-0.360634,0.65631,-0.2388917
0.3968318,-0.1291701,0.8248235,0.6149964,-0.3554132,0.6604978,-0.243317
0.3968105,-0.1290855,0.8250392,0.6149437,-0.3552951,0.6605738,-0.2434162
0.3967486,-0.1288276,0.8256846,0.6147938,-0.3549412,0.660794,-0.2437139
0.3964876,-0.1275925,0.8287278,0.6142045,-0.353299,0.6617165,-0.245079
0.3961771,-0.1249302,0.835192,0.6136564,-0.3500765,0.662913,-0.2478273
0.3963911,-0.1204698,0.8451294,0.6147424,-0.3456077,0.6627978,-0.2516865
0.3964761,-0.1199046,0.8462237,0.6150018,-0.345105,0.6626555,-0.2521163
0.3965075,-0.1197125,0.8465874,0.6150957,-0.3449368,0.6626015,-0.2522591
0.3975856,-0.115627,0.8536412,0.618007,-0.3417949,0.6604618,-0.2550167
0.3977862,-0.1149598,0.8547655,0.6185677,-0.3413203,0.6600232,-0.2554288
0.3978452,-0.1147671,0.8550834,0.6187311,-0.3411848,0.6598947,-0.255546
0.3998208,-0.108324,0.8651046,0.6240919,-0.3366867,0.6556638,-0.2593375
0.400144,-0.1071944,0.8668388,0.6249729,-0.3358839,0.6549609,-0.260032
0.4001705,-0.107103,0.8669795,0.6250435,-0.3358189,0.6549047,-0.2600879
0.4004274,-0.1059321,0.868872,0.6258334,-0.334945,0.6542923,-0.2608559
0.4005577,-0.1049201,0.8705244,0.6263731,-0.3341332,0.6539101,-0.2615595
0.4006943,-0.1022019,0.8750376,0.6275272,-0.3318089,0.6531944,-0.2635334
0.4004965,-0.1004097,0.8783551,0.6279638,-0.3301331,0.6530291,-0.2650031
0.3995574,-0.09685237,0.8850029,0.6279549,-0.3265231,0.6534751,-0.2683758
0.3990558,-0.09544225,0.8874825,0.6276502,-0.3249706,0.653969,-0.2697656
0.3988781,-0.09492974,0.8883334,0.6275366,-0.3244028,0.6541507,-0.2702726
0.3980744,-0.09282289,0.891833,0.6269301,-0.3220006,0.6550076,-0.272469
0.397237,-0.09065124,0.8951057,0.6263558,-0.3195579,0.6557982,-0.2747537
0.3971314,-0.09037356,0.8955006,0.6262896,-0.3192515,0.6558903,-0.2750409
0.3956693,-0.08630645,0.9011384,0.6258237,-0.3149424,0.6566686,-0.2791813
0.3953197,-0.08499003,0.9027067,0.6261245,-0.313736,0.6564491,-0.2803789
0.3949862,-0.08337631,0.904366,0.6267238,-0.3123635,0.6559479,-0.2817424
0.3948358,-0.08269062,0.9050568,0.6270088,-0.3117925,0.6557065,-0.2823021
0.3944557,-0.08087836,0.9068143,0.6278448,-0.3103259,0.6549819,-0.2837383
0.3942052,-0.07906823,0.9083866,0.6289479,-0.3089746,0.6539879,-0.2850592
0.393912,-0.07495956,0.9116404,0.6322941,-0.3062521,0.6509139,-0.2876199
0.3939076,-0.07277494,0.9130412,0.63448,-0.304974,0.6488733,-0.2887715
0.393896,-0.07227486,0.9133691,0.6350245,-0.3046966,0.6483585,-0.2890239
0.3939408,-0.06941906,0.9150067,0.6384842,-0.3032691,0.6450808,-0.2902349
0.3939456,-0.06931815,0.9150565,0.6386112,-0.3032216,0.6449608,-0.2902717
0.3941674,-0.06488928,0.9170096,0.6439939,-0.301067,0.6399052,-0.2918073
0.3942203,-0.06396281,0.9173416,0.6450715,-0.3006009,0.6388959,-0.2921192
0.3942738,-0.05982125,0.9187757,0.6492941,-0.2982902,0.6349788,-0.2936695
0.3941777,-0.05638215,0.9199979,0.6521272,-0.2961448,0.6324451,-0.2950275
0.3941635,-0.05488284,0.9204732,0.6532117,-0.2951682,0.6315125,-0.2956047
0.3941624,-0.05460137,0.9205587,0.653403,-0.2949815,0.6313512,-0.2957123
0.3941549,-0.0519373,0.9213399,0.6550145,-0.2931529,0.6300399,-0.2967607
0.3937712,-0.04489762,0.923602,0.6577671,-0.2877765,0.6281123,-0.3000035
0.3934318,-0.04146161,0.9247381,0.6583556,-0.2849034,0.6279551,-0.3017786
0.3933571,-0.04052368,0.9250231,0.6584834,-0.2841135,0.6279485,-0.3022574
0.3930465,-0.03485104,0.9264997,0.6594039,-0.2794538,0.627787,-0.3049186
0.3930273,-0.03451754,0.926581,0.6594604,-0.2791824,0.627776,-0.3050677
0.3926803,-0.02925572,0.9277803,0.6603831,-0.2749369,0.6275735,-0.3073357
0.3923967,-0.02495029,0.9285763,0.6612372,-0.2715265,0.6273133,-0.3090572
0.3919936,-0.01644241,0.9296709,0.6631963,-0.2649711,0.6265241,-0.3121351
0.391927,-0.01487469,0.9297986,0.6635979,-0.2637874,0.6263374,-0.3126585
0.3917173,-0.009668349,0.9300793,0.665011,-0.2599089,0.6256566,-0.3142636
0.3916166,-0.00686362,0.9301848,0.6657912,-0.257854,0.6252973,-0.3150183
0.3915496,-0.004858777,0.9302476,0.6663529,-0.2563951,0.6250465,-0.3155192
0.3915329,-0.004404819,0.930262,0.6664791,-0.2560657,0.6249916,-0.3156286
0.3914737,-0.002904436,0.9303106,0.6668934,-0.2549777,0.6248176,-0.315978
0.3910784,0.00501926,0.930556,0.6690389,-0.2492331,0.6239302,-0.3177748
0.3906676,0.01092334,0.930747,0.6705922,-0.2449251,0.623272,-0.3191393
0.390365,0.01506172,0.9308551,0.6716873,-0.2419043,0.6227866,-0.3200863
0.3893846,0.02444889,0.9311835,0.6740389,-0.234982,0.6217546,-0.322298
0.3892874,0.02506885,0.9312215,0.6741778,-0.2345147,0.6216984,-0.3224566
0.3886894,0.02880074,0.9314437,0.6750022,-0.231695,0.6213674,-0.3234065
0.3876983,0.03503415,0.9317799,0.6762974,-0.2269639,0.620865,-0.3250169
0.3872603,0.03773169,0.9319172,0.6768189,-0.2249052,0.6206828,-0.3257097
0.3860318,0.04502973,0.9322817,0.6780459,-0.2192758,0.6203161,-0.3276881
0.385284,0.05082309,0.9323304,0.6793076,-0.2149311,0.6197227,-0.3290735
0.3849905,0.0534556,0.9322889,0.6799888,-0.2130028,0.6193445,-0.3296318
0.3848311,0.05506737,0.9322454,0.6804166,-0.2118287,0.6190991,-0.329967
0.3839188,0.06451602,0.931868,0.6829705,-0.2049568,0.617563,-0.3319033
0.3838646,0.06507012,0.931844,0.6831193,-0.2045534,0.6174719,-0.3320152
0.3832922,0.07186121,0.9314349,0.6850047,-0.199657,0.6162876,-0.3333099
0.3831259,0.07502167,0.9311571,0.6859356,-0.1974122,0.6156687,-0.3338752
0.3830196,0.07823464,0.9308094,0.6869222,-0.1951537,0.6149918,-0.3344216
0.3830144,0.07849728,0.9307787,0.6870043,-0.1949703,0.6149346,-0.3344651
0.3828807,0.08158833,0.9304536,0.6879332,-0.192786,0.6142872,-0.3350109
0.3826345,0.08501006,0.930132,0.6889198,-0.1903395,0.6136041,-0.3356339
0.3819839,0.09246994,0.9294509,0.690922,-0.184942,0.6122048,-0.337088
0.3816838,0.09506376,0.929234,0.691522,-0.1830243,0.6117973,-0.3376441
0.3807007,0.1050742,0.9279233,0.6944951,-0.1758573,0.6095681,-0.339378
0.3805814,0.1063076,0.9277122,0.6948819,-0.1749777,0.6092648,-0.3395851
0.3805442,0.1066932,0.9276452,0.6950009,-0.1747024,0.6091713,-0.3396513
0.3799702,0.1150627,0.9254355,0.6981345,-0.1689048,0.6066198,-0.3407225
0.3799086,0.1163158,0.9249825,0.6986853,-0.1680625,0.60616,-0.3408281
